#Path,Method,action,kind,sub,OperationName,OperationNameAlt,Description,metadata
/apis/folder.grafana.app/v0alpha1/namespaces/{namespace}/folders/{name},DELETE,delete,Folder,,deleteNamespacedFolder,,delete a Folder,"{""x-kubernetes-action"":""delete"",""x-kubernetes-group-version-kind"":{""group"":""folder.grafana.app"",""version"":""v0alpha1"",""kind"":""Folder""}}"
/apis/folder.grafana.app/v0alpha1/folders,GET,list,Folder,,listFolderForAllNamespaces,,list objects of kind Folder,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""folder.grafana.app"",""version"":""v0alpha1"",""kind"":""Folder""}}"
/apis/folder.grafana.app/v0alpha1/namespaces/{namespace}/folders/{name}/access,GET,connect,FolderAccessInfo,access,connectGetNamespacedFolderAccess,getNamespacedFolderAccess,connect GET requests to access of Folder,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""folder.grafana.app"",""version"":""v0alpha1"",""kind"":""FolderAccessInfo""}}"
/apis/folder.grafana.app/v0alpha1/namespaces/{namespace}/folders/{name}/count,GET,connect,DescendantCounts,count,connectGetNamespacedFolderCount,getNamespacedFolderCount,connect GET requests to count of Folder,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""folder.grafana.app"",""version"":""v0alpha1"",""kind"":""DescendantCounts""}}"
/apis/playlist.grafana.app/v0alpha1/namespaces/{namespace}/playlists,GET,list,Playlist,,listNamespacedPlaylist,,list or watch objects of kind Playlist,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""playlist.grafana.app"",""version"":""v0alpha1"",""kind"":""Playlist""}}"
/apis/playlist.grafana.app/v0alpha1/namespaces/{namespace}/playlists,POST,post,Playlist,,createNamespacedPlaylist,,create a Playlist,"{""x-kubernetes-action"":""post"",""x-kubernetes-group-version-kind"":{""group"":""playlist.grafana.app"",""version"":""v0alpha1"",""kind"":""Playlist""}}"
/apis/playlist.grafana.app/v0alpha1/namespaces/{namespace}/playlists,DELETE,deletecollection,Playlist,,deletecollectionNamespacedPlaylist,,delete collection of Playlist,"{""x-kubernetes-action"":""deletecollection"",""x-kubernetes-group-version-kind"":{""group"":""playlist.grafana.app"",""version"":""v0alpha1"",""kind"":""Playlist""}}"
/apis/playlist.grafana.app/v0alpha1/watch/namespaces/{namespace}/playlists,GET,watchlist,Playlist,,watchNamespacedPlaylistList,,watch individual changes to a list of Playlist. deprecated: use the 'watch' parameter with a list operation instead.,"{""x-kubernetes-action"":""watchlist"",""x-kubernetes-group-version-kind"":{""group"":""playlist.grafana.app"",""version"":""v0alpha1"",""kind"":""Playlist""}}"
/apis/playlist.grafana.app/v0alpha1/namespaces/{namespace}/playlists/{name},GET,get,Playlist,,readNamespacedPlaylist,,read the specified Playlist,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""playlist.grafana.app"",""version"":""v0alpha1"",""kind"":""Playlist""}}"
/apis/playlist.grafana.app/v0alpha1/namespaces/{namespace}/playlists/{name},PUT,put,Playlist,,replaceNamespacedPlaylist,,replace the specified Playlist,"{""x-kubernetes-action"":""put"",""x-kubernetes-group-version-kind"":{""group"":""playlist.grafana.app"",""version"":""v0alpha1"",""kind"":""Playlist""}}"
/apis/playlist.grafana.app/v0alpha1/namespaces/{namespace}/playlists/{name},PATCH,patch,Playlist,,patchNamespacedPlaylist,,partially update the specified Playlist,"{""x-kubernetes-action"":""patch"",""x-kubernetes-group-version-kind"":{""group"":""playlist.grafana.app"",""version"":""v0alpha1"",""kind"":""Playlist""}}"
/apis/playlist.grafana.app/v0alpha1/namespaces/{namespace}/playlists/{name},DELETE,delete,Playlist,,deleteNamespacedPlaylist,,delete a Playlist,"{""x-kubernetes-action"":""delete"",""x-kubernetes-group-version-kind"":{""group"":""playlist.grafana.app"",""version"":""v0alpha1"",""kind"":""Playlist""}}"
